Notebook Link,status,additional_exclusion_columns,additional_key_columns,data_comparison_filter,environment,layer_name,source_table_name,target_table_name,note
https://adb-1406497925929477.17.azuredatabricks.net/jobs/308291787690782/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sba_db.sba_tsts_1_0,scbucudpsit.dlsit_persist_sba_db.sba_tsts_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/447014695680346/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sba_db.sba_ttm_1_0,scbucudpsit.dlsit_persist_sba_db.sba_ttm_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/923406073279019/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-31',dlsit,ingestion,hive_metastore.dlsit_persist_sdl_db.rbf_sdl_hire_1_0,scbucudpsit.dlsit_persist_sdl_db.rbf_sdl_hire_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/971625757089649/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-31',dlsit,ingestion,hive_metastore.dlsit_persist_sdl_db.rbf_sdl_info_1_0,scbucudpsit.dlsit_persist_sdl_db.rbf_sdl_info_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/682603465715814/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-31',dlsit,ingestion,hive_metastore.dlsit_persist_sdl_db.rbf_sdl_payment_1_0,scbucudpsit.dlsit_persist_sdl_db.rbf_sdl_payment_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/134732373738901/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_asset_save_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_asset_save_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/746778008640249/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_parm_ssme_cust_oc_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_parm_ssme_cust_oc_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/108439442962250/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_code_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_code_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/858896115956133/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_condition_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_condition_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1114158439045477/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_sfc_db.sfc_prm_priv_full_first_1_0,scbucudpsit.dlsit_persist_sfc_db.sfc_prm_priv_full_first_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
